stamp,x,y,d0,d1,d2,r0,r1,r2,raw
2020-06-01 11:43:20.737,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:21.464,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:21.912,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:22.144,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:22.352,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:22.600,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:22.800,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:22.992,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:23.176,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
2020-06-01 11:43:23.352,46,159,76,261,128,0,0,0,FF 02 00 04 00 00 00 00 00 00 2E 00 9F 00 4C 01 05 00 80 00 00 00 00 00 00 00 00 00 00 00 AA 55 
