'stamp':str, 'tags':{   id:{'xy':(x, y), 'd':{0:d0, 1:d1, 2:d2}, 'r':{0:r0, 1:r1, 2:r2}}    },  'raw':raw
'stamp':2020-04-2217:25:04, 'xy':{0:(43, 100)},   'd':(121,280,210,68,62,700,FF0200040000000000002B00640079011800D2E55BE7B8E49D00000000000000
'stamp':2020-04-2217:25:04, 'xy':{0:(43, 100)},   'd':(121,280,210,68,62,700,FF0200040000000000002B00640079011800D2E55BE7B8E49D00000000000000
'stamp':2020-04-2217:25:04, 'xy':{0:(43, 100)},   'd':(121,280,210,68,62,700,FF0200040000000000002B00640079011800D2E55BE7B8E49D00000000000000
'stamp':2020-04-2217:25:04, 'xy':{0:(48, 78 )},   'd':(114,272,237,68,61,690,FF02000400000000000030004E0072011000EDE559E826E4F400000000000000
'stamp':2020-04-2217:25:04, 'xy':{0:(51, 70 )},   'd':(113,268,246,69,61,700,FF0200040000000000003300460071010C00F6E4EEE81DE49900000000000000
'stamp':2020-04-2217:25:04, 'xy':{0:(51, 70 )},   'd':(113,268,246,69,61,700,FF0200040000000000003300460071010C00F6E4EEE81DE49900000000000000
'stamp':2020-04-2217:25:05, 'xy':{0:(55, 63 )},   'd':(113,264,254,69,62,690,FF02000400000000000037003F0071010800FEE4E7E7A7E4D300000000000000
'stamp':2020-04-2217:25:05, 'xy':{0:(58, 57 )},   'd':(114,260,262,68,62,690,FF0200040000000000003A0039007201040106E53BE7C4E4D400000000000000
'stamp':2020-04-2217:25:05, 'xy':{0:(58, 57 )},   'd':(114,260,262,68,62,690,FF0200040000000000003A0039007201040106E53BE7C4E4D400000000000000
'stamp':2020-04-2217:25:05, 'xy':{0:(58, 57 )},   'd':(114,260,262,68,62,690,FF0200040000000000003A0039007201040106E53BE7C4E4D400000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(62, 51 )},   'd':(115,256,269,68,61,690,FF0200040000000000003E003300730100010DE50EE80CE4B000000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(67, 43 )},   'd':(116,251,278,68,61,690,FF02000400000000000043002B007400FB0116E52CE81DE4E400000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(67, 43 )},   'd':(116,251,278,68,61,690,FF02000400000000000043002B007400FB0116E52CE81DE4E400000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(71, 36 )},   'd':(118,247,286,70,60,700,FF020004000000000000470024007600F7011EE4A4E83CE48D00000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(82, 30 )},   'd':(125,237,296,69,60,690,FF02000400000000000052001E007D00ED0128E4C5E830E4D700000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(82, 30 )},   'd':(125,237,296,69,60,690,FF02000400000000000052001E007D00ED0128E4C5E830E4D700000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(88, 28 )},   'd':(129,232,299,68,60,690,FF02000400000000000058001C008100E8012BE51FE85DE4AD00000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(88, 28 )},   'd':(129,232,299,68,60,690,FF02000400000000000058001C008100E8012BE51FE85DE4AD00000000000000
'stamp':2020-04-2217:25:06, 'xy':{0:(93, 29 )},   'd':(133,227,300,69,61,690,FF0200040000000000005D001D008500E3012CE504E821E4EA00000000000000
'stamp':2020-04-2217:25:07, 'xy':{0:(93, 29 )},   'd':(133,227,300,69,61,690,FF0200040000000000005D001D008500E3012CE504E821E4EA00000000000000
'stamp':2020-04-2217:25:07, 'xy':{0:(100,30 )},   'd':(138,221,301,69,61,690,FF02000400000000000064001E008A00DD012DE500E812E4F600000000000000
'stamp':2020-04-2217:25:07, 'xy':{0:(107,31 )},   'd':(143,215,303,69,60,690,FF0200040000000000006B001F008F00D7012FE4F9E857E4C700000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(107,31 )},   'd':(143,215,303,69,60,690,FF0200040000000000006B001F008F00D7012FE4F9E857E4C700000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(77, -4 )},   'd':(0,209,304,69,60,690,FF0200040000000000004DFFFC000000D10130E4F9E85FE4BD00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(77, -4 )},   'd':(0,209,304,69,60,690,FF0200040000000000004DFFFC000000D10130E4F9E85FE4BD00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(115,29 )},   'd':(147,205,306,69,61,690,FF02000400000000000073001D009300CD0132E4C1E825E4CE00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(129,29 )},   'd':(157,193,311,69,61,700,FF02000400000000000081001D009D00C10137E4E6E81DE48D00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(129,29 )},   'd':(157,193,311,69,61,700,FF02000400000000000081001D009D00C10137E4E6E81DE48D00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(134,31 )},   'd':(162,188,312,69,60,690,FF02000400000000000086001F00A200BC0138E4F9E830E4CA00000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(140,32 )},   'd':(167,183,314,69,60,690,FF0200040000000000008C002000A700B7013AE4F4E84CE4E400000000000000
'stamp':2020-04-2217:25:08, 'xy':{0:(140,32 )},   'd':(167,183,314,69,60,690,FF0200040000000000008C002000A700B7013AE4F4E84CE4E400000000000000
'stamp':2020-04-2217:25:09, 'xy':{0:(146,33 )},   'd':(172,178,315,69,61,690,FF02000400000000000092002100AC00B2013BE4BDE80AE4E500000000000000
'stamp':2020-04-2217:25:09, 'xy':{0:(146,33 )},   'd':(172,178,315,69,61,690,FF02000400000000000092002100AC00B2013BE4BDE80AE4E500000000000000
'stamp':2020-04-2217:25:09, 'xy':{0:(146,33 )},   'd':(172,178,315,69,61,690,FF02000400000000000092002100AC00B2013BE4BDE80AE4E500000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(152,34 )},   'd':(177,173,317,69,61,690,FF02000400000000000098002200B100AD013DE4C2E816E4C000000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(158,35 )},   'd':(182,168,319,69,61,690,FF0200040000000000009E002300B600A8013FE4EDE7ECE4CF00000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(158,35 )},   'd':(182,168,319,69,61,690,FF0200040000000000009E002300B600A8013FE4EDE7ECE4CF00000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(164,36 )},   'd':(187,163,321,69,61,690,FF020004000000000000A4002400BB00A30141E4D4E805E4F100000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(175,37 )},   'd':(197,153,326,69,62,690,FF020004000000000000AF002500C500990146E506E791E4FC00000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(182,39 )},   'd':(203,148,328,68,61,690,FF020004000000000000B6002700CB00940148E528E7F1E4C400000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(182,39 )},   'd':(203,148,328,68,61,690,FF020004000000000000B6002700CB00940148E528E7F1E4C400000000000000
'stamp':2020-04-2217:25:10, 'xy':{0:(189,40 )},   'd':(209,142,331,68,61,700,FF020004000000000000BD002800D1008E014BE51FE7FBE48F00000000000000
